date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,229,걸즈 앤 판처 극장판,2016-08-25,1320000,0.0%,262462100,132,29133,1,1,일본,일본,"(주)머스트씨무비릴리징컴퍼니,주식회사 온 피크"
2017.06,230,앤젤스 셰어: 천사를 위한 위스키,2013-05-16,860000,0.0%,140597671,130,17906,1,2,영국,"영국,프랑스",(주)티캐스트
2017.06,231,섹스메이트,2017-06-26,644000,0.0%,644000,127,127,17,22,한국,한국,(주)네스팅
2017.06,231,말할 수 없는 비밀,2008-01-10,764000,0.0%,1154467900,127,163090,1,2,대만,"대만,홍콩","(주)엔케이컨텐츠,(주)디스테이션,(주)스폰지이엔티"
2017.06,233,누나 친구 2,2017-06-01,655000,0.0%,655000,125,125,20,20,한국,한국,(주)영화사 사계절
2017.06,233,내 아내의 새엄마,2017-06-29,652000,0.0%,652000,125,125,20,20,한국,한국,(주)영화사 사계절
2017.06,233,불륜가족,2017-06-08,654000,0.0%,654000,125,125,20,20,한국,한국,(주)영화사 사계절
2017.06,233,MSFF2017 희극지왕 3,,753000,0.0%,753000,125,125,1,1,한국,한국,
2017.06,233,평화의 시대+Present+브레멘,,750000,0.0%,750000,125,125,1,1,한국,한국,
2017.06,238,아가씨(확장판),,1230000,0.0%,92393400,123,12235,1,1,한국,한국,
2017.06,238,아가씨,2016-06-01,1230000,0.0%,35217052991,123,4288530,1,1,한국,한국,씨제이이앤엠(주)
2017.06,240,밤의 해변에서 혼자,2017-03-23,922000,0.0%,438124100,122,56907,2,24,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
2017.06,241,슬픔이여 안녕,,242000,0.0%,7448000,121,3714,1,12,미국,미국,
2017.06,242,오베라는 남자,2016-05-25,590000,0.0%,738882888,118,92517,1,1,스웨덴,스웨덴,"(주)싸이더스,(주)디스테이션"
2017.06,243,위켄즈,2016-12-22,331000,0.0%,37729700,117,5118,1,2,한국,한국,무브먼트
2017.06,244,히든 피겨스,2017-03-23,917000,0.0%,3580282033,115,449421,2,8,미국,미국,이십세기폭스코리아(주)
2017.06,245,세인트 루이스에서 만나요,,220000,0.0%,946000,110,473,1,8,미국,미국,
2017.06,246,브라바도스,,255000,0.0%,1001000,108,498,1,4,미국,미국,
2017.06,247,사랑하기 때문에,2017-01-04,636000,0.0%,2673489440,106,340936,1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,247,솔로몬 왕의 보고,,212000,0.0%,10243000,106,5152,1,12,영국,영국,
2017.06,247,여자의 일생,,212000,0.0%,15403500,106,8338,1,9,한국,한국,
2017.06,250,아이 엠 러브,2011-01-20,672000,0.0%,281066500,105,35636,1,2,이탈리아,이탈리아,"(주)영화사 진진,(주)영화사 조제"
2017.06,251,시카고,2003-03-28,629500,0.0%,158009100,104,20646,1,2,미국,미국,"씨네그루(주)키다리이엔티,코리아픽쳐스(주)"
2017.06,251,산이 울다,2016-05-25,278000,0.0%,105623700,104,13994,1,5,중국,중국,(주)팝엔터테인먼트
2017.06,253,늑대아이,2012-09-13,721000,0.0%,2339099961,103,339852,1,1,일본,일본,(주)미디어데이
2017.06,253,주키퍼스 와이프,2017-10-12,828500,0.0%,1924500,103,238,1,4,미국,"미국,영국",(주)영화사 빅
2017.06,253,레이디 맥베스,2017-08-03,870500,0.0%,3012000,103,282,1,4,영국,영국,주식회사 씨네룩스
2017.06,256,미워도 다시 한번,1968-07-16,204000,0.0%,14293000,102,7088,1,12,한국,한국,
2017.06,256,픽시: 꼬마요정의 대소동,,1020000,0.0%,1020000,102,102,1,1,캐나다,캐나다,(주)나우콘텐츠
2017.06,258,노틀담의 꼽추,1971-07-31,198000,0.0%,24449000,99,12220,1,12,프랑스,프랑스,
2017.06,259,록키 호러 픽쳐 쇼,1998-06-20,847000,0.0%,39581000,98,5022,1,2,미국,"미국,영국","(주)팝엔터테인먼트,(주)피터팬픽쳐스"
2017.06,259,추상,1979-10-27,286000,0.0%,286000,98,98,1,4,프랑스,프랑스,
2017.06,259,눈길,2017-03-01,588000,0.0%,973883100,98,130113,1,2,한국,한국,"(주)엣나인필름,CGV아트하우스"
2017.06,262,자토이치,2004-01-30,675000,0.0%,159102500,97,24634,1,2,일본,일본,"(주)영화사 진진,인터비스앤파트너스(주)"
2017.06,262,언어의 정원,2013-08-14,970000,0.0%,468927423,97,69373,1,1,일본,일본,"에이원엔터테인먼트,(주)팝엔터테인먼트"
